line_index,LD_value
237,1.0
238,0.5
239,0.0
240,2.0
241,2.0
242,0.0
243,0.0
244,0.0
245,0.0
246,2.0
247,0.5
248,0.0
249,1.0
250,0.5
251,0.0
252,2.0
253,2.0
254,0.0
255,0.5
256,1.0
257,0.5
258,0.0
259,0.0
260,2.0
261,4.0
262,0.0
263,0.0
264,1.0
265,0.5
266,0.5
267,1.0
268,1.0
269,2.0
270,1.0
271,0.5
272,2.0
273,0.5
274,2.0
275,1.0
276,1.0
277,0.3333333333333333
278,1.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.3333333333333333
284,0.0
285,1.0
286,0.0
287,2.0
288,0.5
289,0.5
290,0.0
291,1.0
292,0.5
293,1.0
294,2.0
295,0.3333333333333333
296,2.0
297,0.5
298,0.5
299,0.0
300,0.0
301,0.0
302,1.0
303,1.0
304,2.0
305,1.0
306,0.5
307,0.0
308,0.0
309,3.0
310,0.0
311,0.5
312,0.0
313,0.5
314,0.5
315,1.0
316,1.0
317,1.0
318,0.0
319,1.0
320,2.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,3.0
327,0.0
328,0.0
329,1.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,1.0
336,1.0
337,1.0
338,0.0
339,0.0
340,2.0
341,1.0
342,2.0
343,0.0
344,0.0
345,0.0
346,1.0
347,0.0
348,0.0
349,0.0
350,0.0
351,2.0
352,0.0
353,0.0
354,0.0
355,0.5
356,1.0
357,1.5
358,0.0
359,1.0
360,0.0
361,0.0
362,1.0
363,1.0
364,0.0
365,1.0
366,1.0
367,1.0
368,0.0
369,1.0
370,0.0
371,0.0
372,0.0
373,0.0
374,1.0
375,0.0
376,0.0
377,0.5
378,0.0
379,0.5
380,0.0
381,1.0
382,0.5
383,2.0
384,0.0
385,0.0
386,0.0
387,0.5
388,0.0
389,0.0
390,0.0
391,2.0
392,2.0
393,0.0
394,0.0
395,0.3333333333333333
396,0.0
397,0.3333333333333333
398,0.3333333333333333
399,1.0
400,0.0
401,0.5
402,0.0
403,0.5
404,1.0
405,0.0
406,0.5
407,0.25
408,0.3333333333333333
409,1.0
410,1.0
411,0.0
412,1.0
413,0.0
414,0.6666666666666666
415,1.0
416,0.0
417,0.3333333333333333
418,0.25
419,1.0
420,0.0
421,0.0
422,0.0
423,0.5
424,0.0
425,0.0
426,0.5
427,3.0
428,2.0
429,2.0
430,0.0
431,0.0
432,2.0
433,0.3333333333333333
434,1.0
435,0.0
436,0.25
437,0.0
438,0.0
439,0.0
440,0.0
441,1.0
442,1.0
443,1.0
444,2.0
445,0.0
446,1.0
447,0.0
448,0.0
449,0.0
450,1.0
451,1.0
452,0.0
453,0.0
454,0.0
455,0.5
456,2.0
457,0.3333333333333333
458,0.0
459,0.3333333333333333
460,2.0
461,0.5
462,1.0
463,0.5
464,0.0
465,0.5
466,2.0
467,1.0
468,0.3333333333333333
469,0.6666666666666666
470,1.0
471,0.0
472,0.0
473,2.0
474,0.0
475,0.5
476,0.0
477,0.6666666666666666
478,1.0
479,1.0
480,0.0
481,0.0
482,0.0
483,1.0
484,0.6666666666666666
485,2.0
486,1.0
487,0.0
488,0.0
489,0.5
490,0.3333333333333333
491,2.0
492,0.5
493,0.25
494,0.0
495,0.0
496,3.0
497,0.3333333333333333
498,0.0
499,0.0
500,0.3333333333333333
501,2.0
502,0.5
503,2.0
504,0.6666666666666666
505,1.0
506,3.0
507,0.0
508,2.0
509,1.0
510,2.0
511,1.0
512,0.5
513,1.0
514,0.5
515,2.0
516,0.0
517,0.0
518,0.0
519,1.0
520,2.0
